latitude,longitude,town,postcode,epci,county,weight
45.77733,0.29354,3.0,16110.0,30.0,1.0,27.654171085189112
45.79574,0.21373000000000003,323.0,16560.0,27.0,1.0,27.70585012371863
45.65562,-0.2605,114.0,16130.0,15.0,1.0,28.242435489572287
45.67682,0.24096,244.0,16600.0,14.0,1.0,29.259826793920112
44.52704,-0.31454000000000004,105.0,33210.0,77.0,7.0,21.727041357370094
44.52677,-0.3148,105.0,33210.0,77.0,7.0,21.727041357370094
44.52459,-0.31594,105.0,33210.0,77.0,7.0,21.727041357370094
44.52568,-0.3158,105.0,33210.0,77.0,7.0,21.727041357370094
45.56202,0.10123000000000001,214.0,16440.0,14.0,1.0,29.248232591021562
45.66265,0.16428,116.0,16160.0,14.0,1.0,29.26852244609403
45.92316,0.20339000000000002,215.0,16460.0,27.0,1.0,27.700053022269355
45.65087,0.15694000000000002,11.0,16000.0,14.0,1.0,29.285913750441853
45.68669,0.16888,116.0,16160.0,14.0,1.0,29.26852244609403
45.68791,0.17024,116.0,16160.0,14.0,1.0,29.26852244609403
45.64274,-0.20398000000000002,306.0,16130.0,15.0,1.0,28.248232591021562
45.45095,-0.12194,301.0,16300.0,59.0,1.0,27.593195475433017
46.017,0.21595000000000003,86.0,16700.0,43.0,1.0,27.52932131495228
45.62719,0.14253000000000002,11.0,16000.0,14.0,1.0,29.285913750441853
45.68816,-0.07316,218.0,16200.0,15.0,1.0,28.254029692470837
45.68765,-0.07351,218.0,16200.0,15.0,1.0,28.254029692470837
45.72539,0.27211,45.0,16590.0,14.0,1.0,29.26272534464475
45.62163,-0.014490000000000001,211.0,16120.0,15.0,1.0,28.23953693884765
45.6648,0.33492000000000005,232.0,16110.0,30.0,1.0,27.651272534464475
45.63945,0.23435000000000003,189.0,16600.0,14.0,1.0,29.245334040296925
45.67634,0.17471,116.0,16160.0,14.0,1.0,29.26852244609403
45.69982,0.28855000000000003,210.0,16600.0,14.0,1.0,29.259826793920112
45.91618,0.08701,178.0,16140.0,27.0,1.0,27.700053022269355
45.70796,0.25411,45.0,16430.0,14.0,1.0,29.26272534464475
45.71157,0.23389000000000001,67.0,16430.0,14.0,1.0,29.26852244609403
45.71091,0.23122,67.0,16430.0,14.0,1.0,29.26852244609403
45.68737,0.21150000000000002,67.0,16600.0,14.0,1.0,29.26852244609403
45.70087,0.163,67.0,16430.0,14.0,1.0,29.26852244609403
45.87501,0.58589,241.0,16270.0,47.0,1.0,27.651272534464475
46.01579,0.21065,245.0,16700.0,43.0,1.0,27.52932131495228
45.63536,0.10650000000000001,273.0,16400.0,14.0,1.0,29.242435489572287
45.8743,0.0212,196.0,16140.0,74.0,1.0,27.556610109579356
45.87503,0.021,196.0,16140.0,74.0,1.0,27.556610109579356
45.9229,0.48179000000000005,264.0,16450.0,47.0,1.0,27.659968186638388
44.68281,-0.56827,136.0,33650.0,50.0,7.0,22.103287380699896
46.07947,-1.00171,319.0,17290.0,10.0,2.0,5.641375044185224
43.15802,-1.27775,156.0,64220.0,21.0,11.0,0.9927359490986213
46.1996,0.11847,75.0,86510.0,64.0,12.0,1.5150936726758573
44.86783,-0.31701,260.0,33870.0,19.0,7.0,22.1050901378579
44.86802,-0.31741,260.0,33870.0,19.0,7.0,22.1050901378579
44.87211,-0.32169000000000003,334.0,33870.0,19.0,7.0,22.102191587133262
43.09853,-1.44146,6.0,64430.0,21.0,11.0,0.9927359490986213
44.80198,-0.6308900000000001,229.0,33600.0,1.0,7.0,22.76942382467303
45.71934,0.27611,45.0,16590.0,14.0,1.0,29.26272534464475
45.39785,0.07692,89.0,16190.0,32.0,1.0,27.64487451396253
45.39693,0.0784,89.0,16190.0,32.0,1.0,27.64487451396253
44.68437,-0.55957,136.0,33650.0,50.0,7.0,22.103287380699896
44.95708,-0.62129,226.0,33290.0,1.0,7.0,22.778119476846943
44.95414,-0.62139,226.0,33290.0,1.0,7.0,22.778119476846943
44.95468,-0.62067,226.0,33290.0,1.0,7.0,22.778119476846943
44.9572,-0.62172,226.0,33290.0,1.0,7.0,22.778119476846943
44.95673,-0.61804,226.0,33290.0,1.0,7.0,22.778119476846943
46.08011,-1.02539,319.0,17290.0,10.0,2.0,5.641375044185224
46.08089,-1.03345,291.0,17220.0,10.0,2.0,5.626882290562036
44.96163,-0.6613,166.0,33290.0,37.0,7.0,21.77872039589961
45.82563,0.46498000000000006,72.0,16260.0,47.0,1.0,27.651272534464475
44.68723,-0.5567700000000001,136.0,33650.0,50.0,7.0,22.103287380699896
44.68692,-0.5708,136.0,33650.0,50.0,7.0,22.103287380699896
44.69527,-0.5756800000000001,136.0,33650.0,50.0,7.0,22.103287380699896
44.69534,-0.57415,136.0,33650.0,50.0,7.0,22.103287380699896
44.69504,-0.5716100000000001,136.0,33650.0,50.0,7.0,22.103287380699896
44.69544,-0.5694400000000001,136.0,33650.0,50.0,7.0,22.103287380699896
44.69503,-0.5726600000000001,136.0,33650.0,50.0,7.0,22.103287380699896
44.69468,-0.5706,136.0,33650.0,50.0,7.0,22.103287380699896
44.6936,-0.54454,136.0,33650.0,50.0,7.0,22.103287380699896
44.69668,-0.5426,136.0,33650.0,50.0,7.0,22.103287380699896
44.74775,-0.6578400000000001,57.0,33610.0,29.0,7.0,21.833297985153763
46.61413,0.33036000000000004,231.0,86000.0,82.0,12.0,1.6306468716861082
46.61816,0.32992000000000005,231.0,86000.0,82.0,12.0,1.6306468716861082
46.63141,0.32232000000000005,201.0,86440.0,82.0,12.0,1.6393425238600212
45.74501,-0.37341,77.0,16370.0,15.0,1.0,28.2511311417462
